label,cell position,ch1,ch2,ch1+ch2
415,"1508.16, 2131.57",1,2,2
418,"1517.43, 2901.07",1,5,3
419,"1514.41, 3760.44",2,3,1
420,"1521.68, 4025.07",1,4,2
421,"1527.09, 3846.81",1,4,2
422,"1520.67, 459.06",0,3,3
423,"1537.22, 2346.37",1,2,2
424,"1526.46, 1500.38",2,2,0
425,"1540.77, 1083.34",1,4,2
426,"1537.44, 2258.14",1,4,2
427,"1531.43, 2775.30",0,3,2
428,"1538.81, 3018.99",1,2,2
429,"1534.57, 377.01",1,3,2
430,"1534.32, 212.68",1,3,2
431,"1546.65, 2664.93",1,1,2
432,"1557.14, 1193.17",0,3,2
433,"1557.44, 2947.21",1,3,2
434,"1554.95, 547.20",1,2,2
435,"1565.63, 3132.38",2,4,1
436,"1564.30, 277.46",2,4,2
437,"1560.92, 675.10",0,2,1
438,"1572.05, 3783.52",1,3,1
440,"1573.35, 759.74",3,4,0
441,"1572.54, 2848.82",1,3,2
442,"1574.93, 2146.34",1,4,1
443,"1573.51, 2548.81",0,0,0
444,"1580.95, 1995.41",2,3,1
445,"1583.59, 2449.86",1,3,2
446,"1583.12, 62.17",0,2,2
447,"1597.85, 1266.91",2,4,1
448,"1603.24, 328.17",1,4,2
450,"1612.55, 542.60",2,2,3
451,"1617.12, 477.21",2,3,1
452,"1629.91, 2911.88",1,2,2
453,"1632.38, 2701.20",2,3,1
454,"1620.73, 432.45",1,4,3
455,"1624.18, 2253.40",0,4,2
456,"1636.58, 507.48",2,3,1
457,"1624.48, 4034.66",0,4,2
458,"1620.21, 632.15",0,0,0
459,"1628.86, 989.42",2,5,2
460,"1641.34, 2067.49",2,4,3
461,"1634.97, 3202.15",0,3,2
462,"1638.32, 2473.91",1,3,2
463,"1650.12, 1495.76",2,4,1
464,"1670.85, 2342.55",2,3,1
465,"1635.86, 2524.44",2,0,1
466,"1640.31, 1672.81",2,3,1
467,"1645.89, 263.24",3,3,1
468,"1666.29, 2605.77",1,3,2
469,"1673.19, 1098.51",2,4,1
470,"1662.17, 908.16",1,4,2
471,"1662.68, 2199.43",0,4,4
472,"1663.62, 560.45",1,2,2
473,"1672.22, 443.18",1,2,3
474,"1687.36, 2989.83",2,3,1
475,"1693.79, 1947.90",2,2,2
476,"1675.16, 371.58",0,5,4
477,"1687.04, 835.09",3,4,1
478,"1688.33, 659.31",3,4,1
479,"1707.99, 3167.04",2,3,1
480,"1702.30, 193.61",2,5,1
481,"1703.85, 19.90",1,3,2
482,"1701.09, 1444.86",1,4,1
483,"1715.17, 1601.66",2,3,2
484,"1718.56, 2805.99",1,4,3
485,"1716.47, 4079.01",2,1,1
486,"1714.95, 1219.84",1,2,2
487,"1715.07, 398.43",3,3,0
488,"1732.14, 495.67",2,5,1
489,"1713.54, 71.48",1,2,0
490,"1718.74, 600.96",0,0,0
491,"1726.96, 351.41",1,3,3
492,"1733.10, 963.01",0,4,3
