label,cell position,ch1,ch2,ch1+ch2
298,"1937.40, 2175.19",0,2,2
302,"1941.85, 2276.53",1,2,1
303,"1947.72, 298.08",0,2,2
304,"1970.46, 1868.26",0,4,4
305,"1944.85, 2934.66",0,1,1
306,"1961.84, 194.77",0,1,2
307,"1962.08, 1120.58",1,2,1
308,"1962.77, 2516.67",0,2,2
309,"1977.89, 2407.79",0,2,2
310,"1986.39, 2332.13",0,2,2
311,"1997.72, 3357.82",0,0,1
312,"2003.39, 1356.97",0,2,3
313,"1996.55, 515.15",0,2,2
314,"1998.27, 2007.51",0,1,2
315,"1999.36, 1209.66",0,2,2
316,"2010.95, 1942.09",0,1,2
317,"2002.78, 11.03",1,1,0
318,"2033.07, 230.15",0,4,3
319,"2028.18, 3932.59",0,0,0
320,"2027.48, 3566.17",2,1,0
321,"2039.30, 997.52",2,2,1
322,"2034.06, 1148.39",0,1,2
323,"2077.08, 3278.15",0,4,3
324,"2053.34, 1311.52",2,1,1
325,"2056.78, 555.77",0,2,2
326,"2050.70, 1245.85",0,2,2
327,"2057.63, 2304.09",0,1,2
328,"2080.99, 1873.93",0,4,5
330,"2098.41, 1670.11",1,2,3
331,"2098.08, 3554.04",0,2,2
333,"2128.11, 1569.99",0,3,3
334,"2117.98, 1264.13",0,2,2
335,"2129.40, 576.98",0,3,2
336,"2150.02, 4042.03",0,0,0
337,"2148.14, 3024.99",1,2,2
338,"2163.19, 1918.05",0,2,2
339,"2163.52, 1485.00",1,2,1
340,"2160.96, 967.76",4,3,2
341,"2169.42, 3189.96",0,1,2
342,"2183.09, 1074.62",0,2,2
343,"2182.16, 1363.12",0,3,2
344,"2190.09, 446.66",0,2,2
345,"2193.74, 519.14",1,5,1
347,"2212.00, 168.72",1,0,3
350,"2240.92, 816.62",1,0,0
351,"2235.90, 282.33",0,2,2
352,"2231.51, 3160.16",0,0,2
354,"2236.80, 3327.52",0,2,2
356,"2246.34, 1408.49",0,2,2
357,"2240.13, 1482.78",1,2,1
358,"2249.81, 2865.22",0,0,0
359,"2264.26, 500.45",1,2,3
360,"2252.52, 1062.13",1,2,1
361,"2268.84, 2326.59",0,2,2
362,"2291.70, 244.99",0,1,2
363,"2305.64, 2379.21",3,6,5
364,"2309.30, 88.03",0,2,2
365,"2310.51, 3496.25",0,2,2
366,"2296.53, 795.69",0,0,1
367,"2316.52, 1492.54",0,2,2
368,"2310.79, 1582.10",0,2,2
369,"2319.80, 2256.35",1,1,1
370,"2318.60, 1682.98",1,2,1
375,"2343.20, 2831.30",2,3,2
378,"2354.30, 3147.59",0,2,2
379,"2341.67, 210.14",0,1,3
