label,cell position,ch1,ch2,ch1+ch2
317,"2182.91, 398.44",1,2,0
318,"2198.35, 2869.62",3,3,0
319,"2202.15, 3644.92",2,3,0
321,"2203.42, 764.10",0,0,0
322,"2213.55, 683.44",5,2,1
323,"2222.55, 366.39",1,2,0
324,"2251.62, 453.45",3,2,0
325,"2248.77, 742.73",5,3,0
326,"2254.21, 2858.59",1,4,0
327,"2256.89, 664.11",1,0,0
329,"2313.14, 896.17",1,2,0
330,"2319.19, 1934.86",1,3,0
331,"2306.74, 755.22",4,4,0
332,"2307.46, 2742.36",1,2,0
333,"2307.84, 2418.51",1,5,0
334,"2331.83, 2833.57",1,4,1
335,"2319.21, 536.34",2,1,1
336,"2327.25, 2098.15",0,3,0
337,"2338.05, 2379.24",0,2,0
338,"2343.59, 611.53",6,4,0
339,"2377.94, 325.88",1,2,0
340,"2369.25, 532.73",3,4,0
341,"2387.00, 381.90",4,2,0
342,"2375.62, 2091.42",2,3,0
343,"2385.52, 442.88",0,2,1
344,"2381.53, 1697.30",0,0,0
345,"2387.88, 2369.97",1,2,0
346,"2402.96, 1759.60",1,2,0
347,"2401.20, 1997.88",1,2,0
348,"2403.71, 1952.96",0,1,1
349,"2421.65, 1717.71",1,1,0
350,"2447.75, 1295.91",1,2,0
352,"2444.97, 751.18",3,1,0
354,"2442.51, 1571.20",3,0,0
356,"2443.10, 494.85",1,3,0
357,"2479.73, 305.13",5,2,0
358,"2495.19, 3578.60",0,0,0
359,"2478.78, 1677.62",1,2,1
360,"2480.26, 1739.88",0,0,0
362,"2499.57, 1578.38",1,2,0
363,"2516.45, 2218.98",1,2,0
364,"2514.28, 1923.04",3,0,0
365,"2512.74, 2123.62",1,0,0
366,"2533.21, 1264.85",1,2,0
367,"2533.93, 2865.87",0,0,0
368,"2546.65, 1720.40",1,0,0
369,"2564.55, 322.11",2,3,0
370,"2564.95, 4005.03",0,0,0
371,"2571.78, 3834.13",0,1,1
372,"2555.28, 2579.14",4,3,0
374,"2576.01, 2902.54",2,0,0
377,"2610.65, 2721.78",2,2,0
381,"2614.05, 2416.48",2,5,0
382,"2623.97, 368.62",3,2,0
386,"2675.27, 3475.04",1,1,0
387,"2635.73, 558.62",3,3,0
389,"2667.43, 2519.10",7,11,1
391,"2674.15, 3173.02",0,1,0
392,"2653.58, 453.52",2,0,0
393,"2704.52, 1129.44",2,2,0
394,"2673.43, 2854.74",2,4,0
395,"2707.32, 3611.19",1,2,0
396,"2683.98, 2311.49",2,2,0
397,"2721.45, 3373.36",2,3,0
398,"2727.70, 2980.63",1,2,0
399,"2739.05, 1393.90",2,3,0
400,"2735.57, 1515.76",1,2,0
401,"2763.59, 2319.77",1,3,0
402,"2762.28, 3254.45",0,12,1
403,"2774.34, 3665.98",1,3,0
404,"2770.98, 3304.64",1,2,0
405,"2776.72, 1883.26",2,2,0
406,"2777.32, 412.49",1,2,0
408,"2794.56, 350.70",0,2,1
409,"2784.70, 3139.51",1,3,0
410,"2794.63, 2675.36",2,3,0
411,"2791.45, 1589.82",1,2,2
412,"2788.77, 3578.33",0,2,0
413,"2816.98, 294.15",0,2,0
414,"2841.14, 1007.33",2,2,0
416,"2815.69, 2280.00",3,2,0
417,"2837.15, 444.15",2,2,0
418,"2840.20, 1539.10",2,4,0
419,"2859.54, 1850.91",1,0,0
420,"2870.58, 3698.02",0,0,0
421,"2876.97, 286.01",0,8,0
422,"2884.30, 2394.35",2,2,0
423,"2885.53, 381.51",0,0,0
424,"2889.52, 3495.71",2,1,0
425,"2904.57, 2960.02",2,2,0
426,"2905.03, 2321.60",1,0,0
427,"2921.88, 188.08",1,2,0
428,"2922.02, 320.04",3,2,0
429,"2923.70, 458.33",1,2,0
430,"2949.69, 3439.34",1,0,0
432,"2960.09, 272.97",1,2,1
434,"2950.47, 1971.00",0,0,0
435,"2968.98, 50.94",1,1,0
437,"2973.85, 2897.79",1,1,0
438,"2976.29, 936.86",2,2,0
439,"2974.57, 2396.96",1,1,0
440,"2976.19, 1678.44",1,2,0
441,"2979.77, 2781.54",1,1,0
442,"2980.47, 432.90",1,0,0
